,Event,Dates,Location,Description
1819,Atlanta Hawks vs. Toronto Raptors,2022-11-19,State Farm Arena,Come cheer on the Hawks as they take on the Toronto Raptors on November 19th…
1875,Atlanta Falcons vs. Chicago Bears – Nov. 20,2022-11-20,Mercedes-Benz Stadium,Come watch the Atlanta Falcons take on the Chicago Bears in an exciting NFL match-up…
1991,ATEEZ – The Fellowship: Break The Wall Tour,2022-11-22,State Farm Arena,K-pop giants ATEEZ have announced a monumental world tour later in 2022 promoting their new…
2023,Atlanta Hawks vs. Sacramento Kings,2022-11-23,State Farm Arena,Come cheer on the Hawks as they take on the Sacramento Kings on November 23rd…
2259,Atlanta Hawks vs. Miami Heat,2022-11-27,State Farm Arena,Come cheer on the Hawks as they take on the Miami Heat on November 27th…
2424,Rod Wave – Beautiful Mind Tour,2022-12-01,State Farm Arena,Platinum-selling rapper Rod Wave has announced a late 2022 tour across North America to support…
2442,Atlanta Hawks vs. Denver Nuggets,2022-12-02,State Farm Arena,Come cheer on the Hawks!
2486,Disney On Ice: Frozen & Encanto,2022-12-02,State Farm Arena,"For the first time, Disney On Ice invites families to step inside the magical adventures…"
2497,2022 SEC Football Championship,2022-12-03,Mercedes-Benz Stadium,The 2022 SEC Championship Game is on course to be another play-in game for the…
2561,Atlanta Falcons vs. Pittsburgh Steelers – Dec. 4,2022-12-04,Mercedes-Benz Stadium,Come watch the Atlanta Falcons take on the Pittsburgh Steelers in an exciting NFL match-up…
2562,Atlanta R&B Music Experience,2022-12-04,State Farm Arena,It was announced today that ‘Atlanta R&B Music Experience: Holiday Edition’ will come to the…
2644,Atlanta Hawks vs. Oklahoma City Thunder,2022-12-05,State Farm Arena,Come cheer on the Hawks as they take on the Oklahoma City Thunder on December…
2865,Holiday Hoopsgiving 2022,2022-12-10,State Farm Arena,Holiday Hoopsgiving College edition is a men’s basketball showcase that has historically been ranked as…
2924,Atlanta Hawks vs. Chicago Bulls,2022-12-11,State Farm Arena,Come cheer on the Hawks as they take on the Chicago Bulls at the State…
3000,Cirque Musica: Holiday Wonderland,2022-12-13,State Farm Arena,Cirque Musica: Holiday Wonderland is a must-see holiday event to usher in the magic of…
3075,"iHeartRadio Jingle Ball: Sam Smith, Pitbull, AJR",2022-12-15,State Farm Arena,"Get ready to celebrate the holidays in the best way, because the iHeartRadio Jingle Ball…"
3145,Maxwell – V-103 Winterfest,2022-12-16,State Farm Arena,Grammy Award-winning artist Maxwell will headline “V-103 Winterfest” in Atlanta at the award-winning State Farm…
3181,2022 Cricket Celebration Bowl,2022-12-17,Mercedes-Benz Stadium,The Cricket Celebration Bowl is a postseason college football game featuring the conference champions from…
3245,Holiday Hoopsgiving 2022,2022-12-18,State Farm Arena,Holiday Hoopsgiving College edition is a men’s basketball showcase that has historically been ranked as…
3294,Atlanta Hawks vs. Orlando Magic,2022-12-19,State Farm Arena,
3352,NBA Atlanta Hawks vs. Chicago Bulls,2022-12-21,State Farm Arena,Come cheer on the Hawks as they take on the Chicago Bulls at the State…
3448,NBA Atlanta Hawks vs. Detroit Pistons,2022-12-23,State Farm Arena,Come cheer on the Hawks as they take on the Detroit Pistons at the State…
3605,NBA Atlanta Hawks vs. Brooklyn Nets,2022-12-28,State Farm Arena,Come cheer on the Hawks as they take on the Brooklyn Nets at the State…
3673,NBA Atlanta Hawks vs. Los Angeles Lakers,2022-12-30,State Farm Arena,Come cheer on the Hawks as they take on the Los Angeles Lakers at the…
3723,Chick-fil-a Peach Bowl 2022,2022-12-31,Mercedes-Benz Stadium,
3763,Atlanta Falcons vs. Arizona Cardinals – Jan. 1,2023-01-01,Mercedes-Benz Stadium,Come watch the Atlanta Falcons take on the Arizona Cardinals in an exciting NFL match-up…
3925,NBA Atlanta Hawks vs. Milwaukee Bucks,2023-01-11,State Farm Arena,Come cheer on the Atlanta Hawks as they take on the Milwaukee Bucks on January…
3980,NBA Atlanta Hawks vs. Miami Heat,2023-01-16,State Farm Arena,"Come cheer on the Hawks as they take on the Miami Heat on January 16th,…"
4091,Bruce Springsteen and The E Street Band,2023-02-03,State Farm Arena,"It’s the return of Bruce Springsteen and the legendary E Street Band, live at State…"
4097,Bruce Springsteen and the E Street Band,2023-02-03,State Farm Arena,Bruce Springsteen and The E Street Band will kick off their 2023 international tour with…
4107,Ledisi & Kem – Soul II Soul Tour,2023-02-04,State Farm Arena,"Coming up in early 2023, Ledisi will be teaming up with Kem for an epic…"
4117,Carrie Underwood Denim & Rhinestones Tour,2023-02-07,State Farm Arena,Country superstar Carrie Underwood is coming to Atlanta for her brand new Denim & Rhinestones…
4119,Carrie Underwood The Denim & Rhinestones Tour,2023-02-07,State Farm Arena,"n the heels of her triumphant headlining return to the iconic Stagecoach Festival, 8-time GRAMMY®…"
