,Vehicle_id,Vehicle_Name,Category,Transmission,Base_Price,Price,Date_Pickup,Date_Dropoff
227,644881573,Cadillac XTS  ,Luxury,Automatic,150.09,155.52,2022-11-20,2022-11-21
223,636479888,Cadillac XTS  ,Luxury,Automatic,143.49,148.68,2022-11-20,2022-11-21
194,646119413,Cadillac XTS,Luxury,Automatic,137.69,142.67,2022-11-20,2022-11-21
208,644901168,Cadillac XTS  ,Luxury,Automatic,132.64,137.43,2022-11-20,2022-11-21
230,636492688,Cadillac XTS  ,Luxury,Automatic,126.12,130.68,2022-11-20,2022-11-21
213,644861493,Cadillac XTS  ,Luxury,Automatic,120.99,125.36,2022-11-20,2022-11-21
214,646151293,Cadillac XTS,Luxury,Automatic,120.32,124.67,2022-11-20,2022-11-21
207,636472613,Cadillac XTS  ,Luxury,Automatic,114.52,118.66,2022-11-20,2022-11-21
110,644841863,Cadillac XTS  ,Luxury,Automatic,109.34,113.29,2022-11-20,2022-11-21
182,646141193,Cadillac XTS,Luxury,Automatic,108.74,112.67,2022-11-20,2022-11-21
111,735898091,Cadillac XTS  ,Luxury,Automatic,108.74,112.67,2022-11-20,2022-11-21
125,636464758,Cadillac XTS  ,Luxury,Automatic,102.95,106.67,2022-11-20,2022-11-21
83,735895261,Cadillac XTS  ,Luxury,Automatic,97.15,100.66,2022-11-20,2022-11-21
179,644881573,Cadillac XTS  ,Luxury,Automatic,163.51,169.42,2022-11-21,2022-11-22
193,636479888,Cadillac XTS  ,Luxury,Automatic,156.81,162.48,2022-11-21,2022-11-22
171,646119413,Cadillac XTS,Luxury,Automatic,151.01,156.47,2022-11-21,2022-11-22
143,644901168,Cadillac XTS  ,Luxury,Automatic,146.04,151.32,2022-11-21,2022-11-22
162,658137488,Chrysler 300,Luxury,Automatic,141.84,146.97,2022-11-21,2022-11-22
164,658190013,Chrysler 300,Luxury,Automatic,140.58,145.66,2022-11-21,2022-11-22
149,636492688,Cadillac XTS  ,Luxury,Automatic,139.43,144.47,2022-11-21,2022-11-22
83,631553768,Lincoln Continental,Luxury,Automatic,138.52,143.53,2022-11-21,2022-11-22
113,644861493,Cadillac XTS  ,Luxury,Automatic,134.4,139.26,2022-11-21,2022-11-22
130,646151293,Cadillac XTS,Luxury,Automatic,133.65,138.48,2022-11-21,2022-11-22
77,659534556,Chrysler 300,Luxury,Automatic,130.37,135.08,2022-11-21,2022-11-22
78,643095306,Buick LaCrosse  ,Luxury,Automatic,129.09,133.76,2022-11-21,2022-11-22
134,642896921,Chrysler 300  ,Luxury,Automatic,129.09,133.76,2022-11-21,2022-11-22
156,636472613,Cadillac XTS  ,Luxury,Automatic,127.84,132.46,2022-11-21,2022-11-22
191,658163273,Chrysler 300,Luxury,Automatic,127.82,132.44,2022-11-21,2022-11-22
96,644841863,Cadillac XTS  ,Luxury,Automatic,122.74,127.18,2022-11-21,2022-11-22
127,646141193,Cadillac XTS,Luxury,Automatic,122.06,126.47,2022-11-21,2022-11-22
101,735898091,Cadillac XTS  ,Luxury,Automatic,122.06,126.47,2022-11-21,2022-11-22
99,638446461,Chrysler 300  ,Luxury,Automatic,118.89,123.19,2022-11-21,2022-11-22
48,638489136,Chrysler 300  ,Luxury,Automatic,118.89,123.19,2022-11-21,2022-11-22
37,631938698,Buick LaCrosse  ,Luxury,Automatic,116.35,120.56,2022-11-21,2022-11-22
63,585207183,Chrysler 300  ,Luxury,Automatic,116.35,120.56,2022-11-21,2022-11-22
51,636464758,Cadillac XTS  ,Luxury,Automatic,116.26,120.46,2022-11-21,2022-11-22
47,735895261,Cadillac XTS  ,Luxury,Automatic,110.49,114.48,2022-11-21,2022-11-22
189,673928006,Mercedes-Benz GLC,Luxury,Automatic,367.52,380.81,2022-11-22,2022-11-23
187,723428946,BMW 5 Series,Luxury,Automatic,337.49,349.69,2022-11-22,2022-11-23
147,644881573,Cadillac XTS  ,Luxury,Automatic,227.74,235.97,2022-11-22,2022-11-23
138,636479888,Cadillac XTS  ,Luxury,Automatic,220.87,228.85,2022-11-22,2022-11-23
157,646119413,Cadillac XTS,Luxury,Automatic,215.28,223.06,2022-11-22,2022-11-23
155,644901168,Cadillac XTS  ,Luxury,Automatic,210.84,218.46,2022-11-22,2022-11-23
