,Count,Average Price,Score,Ordinal Date,Mercedes-Benz Stadium,State Farm Arena,Date
0,13,125.35615384615386,106,738479,1,0,2022-11-20
1,37,136.17166666666665,42,738480,0,0,2022-11-21
2,39,227.61933333333334,50,738481,0,1,2022-11-22
3,17,383.125,52,738482,0,1,2022-11-23
4,4,365.25,145,738483,0,0,2022-11-24
5,28,131.845,159,738484,0,0,2022-11-25
6,52,110.58076923076922,165,738485,0,0,2022-11-26
7,52,109.38192307692307,60,738486,0,1,2022-11-27
8,52,95.64192307692308,39,738487,0,0,2022-11-28
9,52,95.70115384615384,40,738488,0,0,2022-11-29
10,52,109.30884615384615,46,738489,0,0,2022-11-30
11,52,108.48846153846154,57,738490,0,1,2022-12-01
12,52,106.33846153846154,67,738491,0,1,2022-12-02
13,52,106.33846153846154,67,738491,0,1,2022-12-02
14,52,106.33846153846154,67,738491,0,1,2022-12-02
15,52,106.33846153846154,67,738491,0,1,2022-12-02
16,52,106.5973076923077,117,738492,1,0,2022-12-03
17,52,105.75153846153846,113,738493,1,0,2022-12-04
18,52,105.75153846153846,113,738493,0,1,2022-12-04
19,52,105.75153846153846,113,738493,1,0,2022-12-04
20,52,105.75153846153846,113,738493,0,1,2022-12-04
21,52,96.44615384615385,44,738494,0,1,2022-12-05
22,52,96.44615384615385,39,738495,0,0,2022-12-06
23,52,111.62576923076924,47,738496,0,0,2022-12-07
24,52,111.23884615384615,45,738497,0,0,2022-12-08
25,52,110.83307692307692,52,738498,0,0,2022-12-09
26,52,111.87884615384615,67,738499,0,1,2022-12-10
27,52,111.03307692307693,58,738500,0,1,2022-12-11
28,52,109.09076923076924,38,738501,0,0,2022-12-12
29,52,109.09076923076924,45,738502,0,1,2022-12-13
30,52,96.55115384615384,43,738503,0,0,2022-12-14
31,52,110.06384615384614,49,738504,0,1,2022-12-15
32,52,101.12576923076924,56,738505,0,1,2022-12-16
33,52,112.09423076923076,106,738506,1,0,2022-12-17
34,52,105.53615384615385,58,738507,0,1,2022-12-18
35,52,104.67730769230769,40,738508,0,1,2022-12-19
36,52,104.14653846153846,38,738509,0,0,2022-12-20
37,52,135.4823076923077,51,738510,0,1,2022-12-21
38,52,135.5123076923077,41,738511,0,0,2022-12-22
39,52,146.7326923076923,52,738512,0,1,2022-12-23
40,52,141.85192307692307,137,738513,0,0,2022-12-24
41,52,141.72884615384615,134,738514,0,0,2022-12-25
42,52,141.75192307692308,32,738515,0,0,2022-12-26
43,52,141.75192307692308,33,738516,0,0,2022-12-27
44,52,146.3580769230769,42,738517,0,1,2022-12-28
45,52,139.8473076923077,34,738518,0,0,2022-12-29
46,52,139.79423076923078,48,738519,0,1,2022-12-30
47,52,160.07999999999998,191,738520,1,0,2022-12-31
48,52,154.6776923076923,174,738521,1,0,2023-01-01
49,52,133.44346153846155,115,738522,0,0,2023-01-02
50,52,133.44346153846155,18,738523,0,0,2023-01-03
51,52,132.03153846153847,17,738524,0,0,2023-01-04
52,52,135.1926923076923,18,738525,0,0,2023-01-05
53,52,140.01615384615386,17,738526,0,0,2023-01-06
54,52,135.11307692307693,15,738527,0,0,2023-01-07
55,52,132.03153846153847,17,738528,0,0,2023-01-08
56,52,131.9726923076923,9,738529,0,0,2023-01-09
57,52,131.78192307692308,11,738530,0,0,2023-01-10
58,52,131.97923076923078,18,738531,0,1,2023-01-11
59,52,132.7776923076923,13,738532,0,0,2023-01-12
60,52,135.85923076923078,13,738533,0,0,2023-01-13
61,52,135.06076923076924,14,738534,0,0,2023-01-14
62,52,131.835,13,738535,0,0,2023-01-15
63,52,146.67384615384614,15,738536,0,1,2023-01-16
64,52,146.67384615384614,7,738537,0,0,2023-01-17
65,52,146.22576923076923,5,738538,0,0,2023-01-18
66,52,142.40769230769232,6,738539,0,0,2023-01-19
67,52,145.48923076923077,6,738540,0,0,2023-01-20
68,52,149.3073076923077,10,738541,0,0,2023-01-21
69,52,146.00192307692308,8,738542,0,0,2023-01-22
70,52,136.59269230769232,3,738543,0,0,2023-01-23
71,52,136.8403846153846,6,738544,0,0,2023-01-24
72,52,137.01653846153846,5,738545,0,0,2023-01-25
73,52,135.29346153846154,7,738546,0,0,2023-01-26
74,52,140.44115384615387,6,738547,0,0,2023-01-27
75,52,139.81,7,738548,0,0,2023-01-28
