,Vehicle_id,Vehicle_Name,Category,Transmission,Base_Price,Price,Date_Pickup,Date_Dropoff
82,644881573,Cadillac XTS  ,Luxury,Automatic,176.95,182.78,2022-11-18,2022-11-19
84,646119413,Cadillac XTS,Luxury,Automatic,163.9,169.3,2022-11-18,2022-11-19
93,644901168,Cadillac XTS  ,Luxury,Automatic,158.89,164.13,2022-11-18,2022-11-19
90,644861493,Cadillac XTS  ,Luxury,Automatic,146.87,151.71,2022-11-18,2022-11-19
89,646151293,Cadillac XTS,Luxury,Automatic,145.96,150.77,2022-11-18,2022-11-19
58,644841863,Cadillac XTS  ,Luxury,Automatic,134.82,139.26,2022-11-18,2022-11-19
80,646141193,Cadillac XTS,Luxury,Automatic,133.99,138.4,2022-11-18,2022-11-19
59,735898091,Cadillac XTS  ,Luxury,Automatic,133.99,138.4,2022-11-18,2022-11-19
57,735895261,Cadillac XTS  ,Luxury,Automatic,122.04,126.06,2022-11-18,2022-11-19
219,644881573,Cadillac XTS  ,Luxury,Automatic,155.11,160.22,2022-11-19,2022-11-20
215,636479888,Cadillac XTS  ,Luxury,Automatic,148.18,153.06,2022-11-19,2022-11-20
182,646119413,Cadillac XTS,Luxury,Automatic,142.19,146.88,2022-11-19,2022-11-20
198,644901168,Cadillac XTS  ,Luxury,Automatic,137.07,141.59,2022-11-19,2022-11-20
222,636492688,Cadillac XTS  ,Luxury,Automatic,130.24,134.53,2022-11-19,2022-11-20
203,644861493,Cadillac XTS  ,Luxury,Automatic,125.02,129.14,2022-11-19,2022-11-20
204,646151293,Cadillac XTS,Luxury,Automatic,124.26,128.35,2022-11-19,2022-11-20
193,636472613,Cadillac XTS  ,Luxury,Automatic,118.27,122.17,2022-11-19,2022-11-20
111,644841863,Cadillac XTS  ,Luxury,Automatic,113.0,116.72,2022-11-19,2022-11-20
112,735898091,Cadillac XTS  ,Luxury,Automatic,112.31,116.01,2022-11-19,2022-11-20
169,646141193,Cadillac XTS,Luxury,Automatic,112.31,116.01,2022-11-19,2022-11-20
121,636464758,Cadillac XTS  ,Luxury,Automatic,106.32,109.82,2022-11-19,2022-11-20
86,735895261,Cadillac XTS  ,Luxury,Automatic,100.33,103.64,2022-11-19,2022-11-20
292,644881573,Cadillac XTS  ,Luxury,Automatic,207.26,214.09,2022-11-20,2022-11-21
283,636479888,Cadillac XTS  ,Luxury,Automatic,199.99,206.58,2022-11-20,2022-11-21
267,646119413,Cadillac XTS,Luxury,Automatic,194.02,200.41,2022-11-20,2022-11-21
268,644901168,Cadillac XTS  ,Luxury,Automatic,189.2,195.43,2022-11-20,2022-11-21
278,636492688,Cadillac XTS  ,Luxury,Automatic,182.06,188.06,2022-11-20,2022-11-21
240,644861493,Cadillac XTS  ,Luxury,Automatic,177.17,183.01,2022-11-20,2022-11-21
241,646151293,Cadillac XTS,Luxury,Automatic,176.08,181.88,2022-11-20,2022-11-21
281,636472613,Cadillac XTS  ,Luxury,Automatic,170.1,175.7,2022-11-20,2022-11-21
244,644841863,Cadillac XTS  ,Luxury,Automatic,165.13,170.57,2022-11-20,2022-11-21
238,735898091,Cadillac XTS  ,Luxury,Automatic,164.11,169.52,2022-11-20,2022-11-21
269,646141193,Cadillac XTS,Luxury,Automatic,164.11,169.52,2022-11-20,2022-11-21
251,636464758,Cadillac XTS  ,Luxury,Automatic,158.12,163.33,2022-11-20,2022-11-21
211,735895261,Cadillac XTS  ,Luxury,Automatic,152.16,157.17,2022-11-20,2022-11-21
207,658137488,Chrysler 300,Luxury,Automatic,134.3,138.73,2022-11-20,2022-11-21
