,Event,Dates,Location,Description
1622,CFHOF Honors 2022 Inductees with New Exhibit,2022-11-20,Chick-fil-A College Football Hall of Fame,
1623,Ancient Engraved Gemstones,2022-11-20,Michael C. Carlos Museum (Emory University),"The exhibition, Making an Impression, the Art and Craft of Ancient Engraved Gemstones, considers how…"
1624,Cirque Du Soleil – Kurios,2022-11-20,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
1625,“In Hope for a Better Future” Art Exhibition,2022-11-20,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
1626,Spruill Gallery Holiday Artists Market,2022-11-20,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
1627,Celebration at the Station,2022-11-20,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
1628,Holiday in the Park,2022-11-20,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
1629,Girl Gang Members Mart,2022-11-20,Buckhead Village,Join us for a Members Mart unlike any before at Buckhead Village! A new group of…
1630,Free Birds–$ 2.00 Fall Flick at Aurora Cineplex,2022-11-20,Aurora Cineplex,FREE BIRDS ( PG)–our $ 2.00 Fall Family Flicks at Aurora Cineplex. Just in time…
1631,Shine Light Show at Coolray Field,2022-11-20,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
1632,Atlanta Chili Cook Off,2022-11-20,Brook Run Park,
1633,World of Illumination,2022-11-20,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
1634,Stranger Things: The Experience,2022-11-20,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
1635,The Colors of Peace Exhibit,2022-11-20,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
1636,Gurl Mobb Museum- Selfie museum in Atlanta,2022-11-20,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
1637,Claude Monet Immersive Exhibit,2022-11-20,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
1638,Merz Trio,2022-11-20,Spivey Hall,"Brigid Coleridge, violin Julia Yang, cello Lee Dionne, piano “The incredibly gifted, innovative, and charming…"
1639,Winter Wonderland at Fernbank,2022-11-20,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
1640,Sunday Spiritual Festival,2022-11-20,Krishna Life Temple and Monastery,"Come and experience the association of practicing monks. Meditate, Dance, hear words of wisdom and…"
1641,Harry Potter: The Exhibition,2022-11-20,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
1642,PAW Patrol: Adventure Play,2022-11-20,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
1643,DreamHack Atlanta Gaming Festival,2022-11-20,Georgia World Congress Center,"DreamHack is back! The three-day, immersive, gaming lifestyle festival will return to Atlanta for the…"
1644,"Garden Lights, Holiday Nights",2022-11-20,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
1645,Holiday Catering with Grecian Gyro,2022-11-20,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
1646,Rudolph the Red-Nosed Reindeer,2022-11-20,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
1647,Mattie Lou O’Kelley: The Long Journey to Success,2022-11-20,Oglethorpe University Museum of Art,"Like most female artists of the early 20th century, O’Kelley endured far greater hardships than…"
1648,Creekwater Alpaca Farm Barn Tour,2022-11-20,Creekwater Alpaca Farm,
1649,Elephant Wild Encounter,2022-11-20,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
1650,Deana Lawson Exhibit,2022-11-20,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
1651,Skate the Station,2022-11-20,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
1652,Giant Panda Wild Encounter,2022-11-20,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
1653,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-11-20,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
1654,Reindeer Road by World of Illumination,2022-11-20,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
1655,WildWoods AGLOW,2022-11-20,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
1656,Atlanta Chili Cookoff 2022,2022-11-20,Brook Run Park,The Atlanta Chili Cook Off is a fun filled afternoon of family & healthy competition….
1657,Waking Wonderland: An Immersive Experience,2022-11-20,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
1658,Tithonia: A Lesbian Space Opera,2022-11-20,Out Front Theatre Company,"Traverse the galaxy aboard the Starship Tithonia in a new, original musical for the ages…"
1659,OnStage Atlanta presents The Cemetery Club,2022-11-20,OnStage Atlanta,The Cemetery Club by Ivan Menchell Friday and Saturday 8pm Sunday 3pm Tixs: $20 -…
1660,Holiday Tree Market in the Courtyard,2022-11-20,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
1661,Inner Engineering Completion,2022-11-20,Hilton Garden Inn Windward,We are thrilled to announce the next in-person Inner Engineering Completion program [IEC] in Atlanta!!!…
1662,Delicious Thanksgiving Offerings from Fox Bros BBQ,2022-11-20,Fox Bros. Bar-B-Q,Fox Bros. Bar-B-Q welcomes another year of holiday tradition with their beloved Thanksgiving catering menu….
1663,Anat Cohen Quartetinho,2022-11-20,The Breman Museum,The Breman Museum is pleased to announce that it will present the Anat Cohen Quartetinho…
1664,Atlanta Falcons vs. Chicago Bears – Nov. 20,2022-11-20,Mercedes-Benz Stadium,Come watch the Atlanta Falcons take on the Chicago Bears in an exciting NFL match-up…
1665,Baby Shark Live!,2022-11-20,Atlanta Symphony Hall,Splash along with Baby Shark and Pinkfong as they journey into the sea to sing…
1666,Mania – The ABBA Tribute,2022-11-20,Buckhead Theatre,"From London’s West End to Las Vegas, ABBA MANIA is the world’s number one touring…"
1667,“The Tempest”,2022-11-20,Shakespeare Tavern Playhouse,"Shipwrecked after a violent storm, little do the survivors know that they have landed on…"
1668,Candlelight: A Tribute to Beyonce,2022-11-20,The Wimbish House,"Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like…"
1669,Retreat into Oneness,2022-11-20,Elohee Retreat Center,Retreat into Oneness offers a respite from the chattering mind and busyness of life in…
1670,Stephen Burks Shelter in Place,2022-11-20,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
1671,Stem Wine Bar’s November Tastings: Amazing America,2022-11-20,Stem Wine Bar,"Join Stem Wine Bar for their November wine tastings every Tuesday, Wednesday, and Thursday from…"
1672,Maker’s Market,2022-11-20,Atlantic Green,
1673,Midtown Atlanta Food and Cocktail Tour,2022-11-20,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
1674,Champions of Magic,2022-11-20,Cobb Energy Performing Arts Centre,Break away from the screen and experience live entertainment like never before with Champions Of…
1675,Champions Of Magic,2022-11-20,Cobb Energy Performing Arts Centre,Break away from the screen and experience live entertainment like never before with Champions Of…
1676,2022 Georgia Festival of Trees,2022-11-20,Georgia World Congress Center,Kick off your holiday season with the Georgia Festival of Trees presented by Atlanta Gas…
